submitted,climate,favorite_pizza,age,used_data_to_make_decision,what_year,career,what_degree,like_math,data_tool_used,ever_analyzed_data,order_operations_test,good_at_counting,how_tall,what_state,id
2025-01-31,"Climate change exists, and humans may cause it.",with a bunch of veggies and chicken but at the moment im vegetarian. ,22,I've only used it in school for lab results and stuff but i dont think i ever used it to make personal decisions. ,4th Year (Senior),Maybe,Other,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,NA,NA,1
2025-01-17,"Climate change exists, and humans definitely cause it.",NA,NA,I collected data to find which volleyball shoes matched me the best,2nd Year (Sophmore),Maybe,Pharmaceutical Sciences,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,71,New York,2
2025-01-16,NA,NA,23,Yes,5+ (You like it here),Maybe,Public Health,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,69,Vermont,3
2025-01-16,"Climate change exists, and humans definitely cause it.",NA,NA,Not in any circumstance where anything important depended upon it but in an academic setting I have relied on data.,2nd Year (Sophmore),No,Public Health,No,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,68,New York,4
2025-01-15,"Climate change exists, and humans may cause it.",NA,20,"Yes, when figuring out demographics and types of product availability in certain areas. ",2nd Year (Sophmore),No,Pre-Med,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,NA,NY,5
2025-01-15,"Climate change exists, and humans definitely cause it.",NA,NA,No I haven't tried to use data,2nd Year (Sophmore),No,Public Health,No,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Maybe,3,Yes,67,New York,6
2025-01-15,"Climate change exists, and humans definitely cause it.",Cheese,19,No,2nd Year (Sophmore),No,Public Health,Yes,"None\, see above",No,3,Yes,NA,NA,7
2025-01-15,"Climate change exists, and humans definitely cause it.",Mushroom & roasted red pepper pizza ,NA,Not sure. ,2nd Year (Sophmore),No,Pre-Med,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,2,No,61,NA,8
2025-01-15,"Climate change exists, and humans definitely cause it.",Cheese,NA,Yes,2nd Year (Sophmore),No,Pre-Med,No,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,NA,North Carolina,9
2025-01-15,"Climate change exists, and humans may cause it.",Pepperoni ,NA,Yes I'm sure but I can't think of a specific moment. ,2nd Year (Sophmore),No,Public Health,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,NA,Kentucky,10
2025-01-15,"Climate change exists, and humans definitely cause it.",NA,17,no,2nd Year (Sophmore),No,Pre-Med,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,62,NA,11
2025-01-15,"Climate change exists, and humans may cause it.",Pepperoni ,19,Yes I would think so. ,2nd Year (Sophmore),No,Public Health,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,NA,NA,12
2025-01-15,"Climate change exists, and humans definitely cause it.",NA,NA,"No, I have not. ",2nd Year (Sophmore),No,Pre-Med,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Maybe,3,Yes,70,New York,13
2025-01-15,"Climate change exists, and humans definitely cause it.",My favorite kind of pizza is thin-crust pepperoni pizza. ,NA,"In the past year, I have used data from past weather seasons when would be the most appropriate time to go back home to Jamaica so I wouldn't get stuck trying to visit family for a short time ",2nd Year (Sophmore),Maybe,Pre-Med,"I'm going to drop this course, because of this question.","Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,3,Yes,63,NA,14
2025-01-14,"Climate change exists, and humans may cause it.",NA,19,No I have not.,2nd Year (Sophmore),No,Pre-Med,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Maybe,3,Yes,70,NA,15
